Company Name, Email, Telephone, Website
PERFUMES LOEWE, Eshoploewe@perfumesloewe.com, +34 91 153 81 81, http://www.loewe.com/cn_en/customer-service/
PHILEMON-1889, contact@philemon-1889.fr,  + 33 (0)9 72 54 00 38, http://www.philemon1889.fr
PHYTOMER, phytomer@phytomer.com, 02 23 18 31 31, http://www.phytomer.com
PIER AUGE PRODUITS DE BEAUTE, serviceconsommateurs@pierauge.com, 02 54 60 66 66, http://www.pierauge.com
PIERRE FABRE DERMO-COSMETIQUE - A-DERMA, contact.aderma@pierre-fabre.com, 0 825 886 145, http://www.pierre-fabre.com/fr
PIERRE FABRE DERMO-COSMETIQUE - AVENE, contact.avene@pierre-fabre.com, 0 826 803 456, http://www.pierre-fabre.com/fr
PIERRE FABRE DERMO-COSMETIQUE - DUCRAY, contact.ducray@pierre-fabre.com, 0 826 800 303, http://www.pierre-fabre.com/fr
PIERRE FABRE DERMO-COSMETIQUE - ELANCYL, contact.elancyl@pierre-fabre.com, 0 825 882 167, http://www.pierre-fabre.com/fr
PIERRE FABRE DERMO-COSMETIQUE - GALENIC, contact.galenic@pierre-fabre.com, 0 826 008 181, http://www.pierre-fabre.com/fr
PIERRE FABRE DERMO-COSMETIQUE - KLORANE, contact.klorane@pierre-fabre.com, 0 826 002 121, http://www.pierre-fabre.com/fr
PIERRE FABRE DERMO-COSMETIQUE - KLORANE BEBE, contact.klorane@pierre-fabre.com, 0 826 002 424, http://www.pierre-fabre.com/fr
PIERRE FABRE DERMO-COSMETIQUE - RENE FURTERER, contact.furterer@pierre-fabre.com, 0 826 001 919, http://www.pierre-fabre.com/fr
POLAAR, info@polaar.com, 01 40 33 71 27, http://www.polaar.com
PROCTER & GAMBLE France - FLUOCARIL & PAROGENCYL, consumerrelation.im@pg.com, 0800 256 415, http://www.pg.com
PROCTER & GAMBLE France - GILLETTE & VENUS, consumerrelation.im@pg.com, 0800 944 806, http://www.pg.com
PROCTER & GAMBLE France - HEAD & SHOULDERS / PANTENE / AUSSIE, consumerrelation.im@pg.com, 0800 778 005, http://www.pg.com
PROCTER & GAMBLE France - ORAL-B, consumerrelation.im@pg.com, 0800 944 803, http://www.pg.com
PROCTER & GAMBLE France - PAMPERS Lingettes, consumerrelation.im@pg.com, 0800 945 130, http://www.pg.com
PROMAT'S INTERNATIONAL, commande@promats-international.com, 0 800 322 231, http://www.leclubdesprofessionnels.com
RALPH LAUREN, NaN, 05 49 00 86 13, http://www.ralphlauren.fr/family/index.jsp?categoryId=8131321
REDKEN, NaN, 0 810 054 111, http://www.redken.fr/
ROGER GALLET, NaN, 0 810 77 9000, http://www.roger-gallet.com
SANOFLORE, NaN, 0 810 77 9000, http://www.sanoflore.fr
SAVON LE NATUREL, NaN, 05 49 00 86 13, NaN
SENSIENT COSMETIC TECHNOLOGIES, contact@sensient-cosmetics.com, 01 34 48 57 00, http://www.sensient-cosmetics.com
SEPHORA, NaN, 0 809 404 045, http://www.sephora.fr/faq/faq.jsp?csrSub=contact&csrSection=contact
SERGE LUTENS , contact@sergelutens.com, 01 46 94 14 83, http://www.fr.sergelutens.com
SHISEIDO, service.consommateur@shiseido.fr, 01 46 94 10 70, http://www.shiseido.fr
SHU UEMURA ART OF HAIR, NaN, 0 810 054 111, http://www.shuuemuraartofhair-usa.com/
SILIANS COSMETIQUES & SPA, info@silians.net, 01 84 20 41 42, http://www.silians.net
SISLEY, contact@sisley-cosmetics.com, 01 86 21 08 00, http://www.sisley-paris.com/fr-FR/ 
SKINCEUTICALS, NaN, 0 810 77 9000, http://www.skinceuticals.fr
SKINJAY, bonjour@skinjay.com, 04 72 16 78 20, http://www.skinjay.com
SLAVA ZAITSEV, NaN, 05 49 00 86 13, NaN
STELLA MCCARTNEY, NaN, 05 49 00 86 13, http://www.stellamccartney.com/fr/online/stella-mccartney/femme/parfums
TALIKA, customerservice@talika.com, 01 80 05 22 60, http://www.talika.com
THERMES MARINS DE SAINT-MALO, contact@thermesmarins.fr , 02 99 40 76 30, http://www.cosmetique-thermesmarins.fr
URBAN DECAY, NaN, 09 69 39 75 55, http://www.urbandecay.fr
USHUAIA, NaN, 05 49 00 86 13, http://www.ushuaia-beaute.fr
VICHY, NaN, 0 810 466 466, http://www.vichy.fr
VICTOR & ROLF, NaN, 05 49 00 86 13, http://www.secretservice.viktor-rolf.com/#/fr_FR/PreHome/login
VISEART, maud@viseart.paris, 01 83 64 89 75, NaN
VIVELLE DOP, NaN, 05 49 00 86 13, http://www.vivelledop.fr/contact.html
VONAGE LABORATOIRES, contact@vonage-lab.com, 01 74 59 47 89, http://www.vonage-lab.com
YESforLOV, contact@yesforlov.com, 04 50 22 98 90, http://www.yesforlov.com
YVES SAINT LAURENT, NaN, 09 69 36 44 33, http://www.yslbeauty.fr
ZYLANGIA, info@mdebourbon.com, 01 53 57 36 50, http://www.mdebourbon.com
